,index,days_cancel,severe_toxicity,group
244,244,61.0,0.13323626597746177,kpop
245,245,62.0,0.13025370050086868,kpop
246,246,63.0,0.13345466889617186,kpop
247,247,64.0,0.13604754434715308,kpop
248,248,65.0,0.14015722671067435,kpop
249,249,66.0,0.1421858949421909,kpop
250,250,67.0,0.1396970613491479,kpop
251,251,68.0,0.1387270396496777,kpop
252,252,69.0,0.13988443823429214,kpop
253,253,70.0,0.14372393978256848,kpop
254,254,71.0,0.14000221263588525,kpop
255,255,72.0,0.13418439343080232,kpop
256,256,73.0,0.13031187358969637,kpop
257,257,74.0,0.13334565627651718,kpop
258,258,75.0,0.13358452104232538,kpop
259,259,76.0,0.13392340448241583,kpop
260,260,77.0,0.13037539876257337,kpop
261,261,78.0,0.13020204970346513,kpop
262,262,79.0,0.13201368987181014,kpop
263,263,80.0,0.13492807847407262,kpop
264,264,81.0,0.13106445681721648,kpop
265,265,82.0,0.13728156149377985,kpop
266,266,83.0,0.13204975400770302,kpop
267,267,84.0,0.12910284339773215,kpop
268,268,85.0,0.12781991937226125,kpop
269,269,86.0,0.12509355082289034,kpop
270,270,87.0,0.12614732876166249,kpop
271,271,88.0,0.12142682586594132,kpop
272,272,89.0,0.11020825888836767,kpop
273,273,90.0,0.10640000419147888,kpop
274,274,91.0,0.10666317192239412,kpop
275,275,92.0,0.10353282963135294,kpop
276,276,93.0,0.10303646232766328,kpop
277,277,94.0,0.09917273901431119,kpop
278,278,95.0,0.10771391602999578,kpop
279,279,96.0,0.11676239591103263,kpop
280,280,97.0,0.1148168257218715,kpop
281,281,98.0,0.1106786360832729,kpop
282,282,99.0,0.11335484434101775,kpop
283,283,100.0,0.11268253680463447,kpop
284,284,101.0,0.11103301026236136,kpop
285,285,102.0,0.1029217757658589,kpop
286,286,103.0,0.10221665773413346,kpop
287,287,104.0,0.10271230356046991,kpop
288,288,105.0,0.11446486996171966,kpop
289,289,106.0,0.11896673377455493,kpop
290,290,107.0,0.11953113397636157,kpop
291,291,108.0,0.12551848430750906,kpop
292,292,109.0,0.1315622762608424,kpop
293,293,110.0,0.12934760547466878,kpop
294,294,111.0,0.13528494836597985,kpop
295,295,112.0,0.12658734648724734,kpop
296,296,113.0,0.12658838280836154,kpop
297,297,114.0,0.121362929255752,kpop
298,298,115.0,0.12278671511625068,kpop
299,299,116.0,0.11812060939742185,kpop
300,300,117.0,0.1173114522053642,kpop
301,301,118.0,0.1137898101893778,kpop
302,302,119.0,0.11436918249411798,kpop
303,303,120.0,0.10994014109492949,kpop
304,304,121.0,0.11725309656668936,kpop
305,305,122.0,0.11433992940674034,kpop
306,306,123.0,0.11503175605650924,kpop
307,307,124.0,0.12006790751660315,kpop
308,308,125.0,0.12201275205825869,kpop
309,309,126.0,0.11905874237212488,kpop
310,310,127.0,0.12005120569442063,kpop
311,311,128.0,0.12073789169078832,kpop
312,312,129.0,0.11843999188154797,kpop
313,313,130.0,0.12739877922761964,kpop
314,314,131.0,0.12119558296019974,kpop
315,315,132.0,0.11466794569609413,kpop
316,316,133.0,0.11281634840742547,kpop
317,317,134.0,0.11017336579446114,kpop
318,318,135.0,0.11355018797600387,kpop
319,319,136.0,0.11545881242265459,kpop
320,320,137.0,0.10262011720867611,kpop
321,321,138.0,0.10338815729343483,kpop
322,322,139.0,0.11068746289851794,kpop
323,323,140.0,0.11389828817665838,kpop
324,324,141.0,0.1167154872005354,kpop
325,325,142.0,0.1116519306217159,kpop
330,330,-181.0,0.18556010505874482,hiphop
331,331,-180.0,0.17462717979552664,hiphop
332,332,-179.0,0.16152977338802704,hiphop
333,333,-178.0,0.16152977338802704,hiphop
334,334,-177.0,0.15254568684845843,hiphop
335,335,-176.0,0.15254568684845843,hiphop
336,336,-175.0,0.13871098297501397,hiphop
