,index,days_cancel,insult,group
293,293,107.0,0.25492793887982557,female
294,294,108.0,0.25424560129665796,female
295,295,109.0,0.25424560129665796,female
296,296,110.0,0.25238995299904193,female
297,297,111.0,0.25238995299904193,female
298,298,112.0,0.24909015293707157,female
299,299,113.0,0.24767056244552382,female
300,300,114.0,0.24767056244552382,female
301,301,115.0,0.24634602163933955,female
302,302,116.0,0.24634602163933955,female
303,303,117.0,0.2460140825738095,female
304,304,118.0,0.24420361950417066,female
305,305,119.0,0.24372038584447164,female
306,306,120.0,0.24003768228263783,female
307,307,121.0,0.23647351679476644,female
308,308,122.0,0.23647351679476644,female
309,309,123.0,0.23415523846792016,female
310,310,124.0,0.23415523846792016,female
311,311,125.0,0.23405556655325285,female
312,312,126.0,0.23415523846792016,female
313,313,127.0,0.23415523846792016,female
314,314,128.0,0.23413119087279016,female
315,315,129.0,0.23413119087279016,female
316,316,130.0,0.23413119087279016,female
317,317,131.0,0.234019233807226,female
318,318,132.0,0.23320773342947013,female
319,319,133.0,0.23219352618878436,female
320,320,134.0,0.23018098166005133,female
321,321,135.0,0.22767963508073627,female
322,322,136.0,0.22620609833621114,female
323,323,137.0,0.22416748200830844,female
324,324,138.0,0.22226312716840685,female
325,325,139.0,0.2219885037280171,female
326,326,140.0,0.2216584164667279,female
327,327,141.0,0.22032169368277882,female
328,328,142.0,0.21697051086432287,female
329,329,143.0,0.21424399612037973,female
330,330,144.0,0.21389453796414357,female
331,331,145.0,0.21317882367392985,female
332,332,146.0,0.21317882367392985,female
333,333,147.0,0.21301648767449885,female
334,334,148.0,0.21301648767449885,female
335,335,149.0,0.21301648767449885,female
336,336,150.0,0.21265673791186493,female
341,341,-179.0,0.17183377651105344,male
342,342,-178.0,0.17183377651105344,male
343,343,-177.0,0.16304840470246595,male
344,344,-176.0,0.1602786757289749,male
345,345,-175.0,0.15618594264464675,male
346,346,-174.0,0.1550020527846978,male
347,347,-173.0,0.1540072420662158,male
348,348,-172.0,0.1540072420662158,male
349,349,-171.0,0.1540072420662158,male
350,350,-170.0,0.15714580538699255,male
351,351,-169.0,0.15995412917322283,male
352,352,-168.0,0.16607598569798782,male
353,353,-167.0,0.16820583536404887,male
354,354,-166.0,0.16903716311117545,male
355,355,-165.0,0.16919097663304333,male
356,356,-164.0,0.16903716311117545,male
357,357,-163.0,0.16903716311117545,male
358,358,-162.0,0.1629749426719129,male
359,359,-161.0,0.1548351889375429,male
360,360,-160.0,0.1533327248854019,male
361,361,-159.0,0.14617507749207756,male
362,362,-158.0,0.140874572400374,male
363,363,-157.0,0.140874572400374,male
364,364,-156.0,0.140874572400374,male
365,365,-155.0,0.14362451465896442,male
366,366,-154.0,0.1594869132959416,male
367,367,-153.0,0.16566604260493706,male
368,368,-152.0,0.16914185405731982,male
369,369,-151.0,0.17319763523373793,male
370,370,-150.0,0.17554891557070615,male
371,371,-149.0,0.17554891557070615,male
372,372,-148.0,0.17319763523373793,male
373,373,-147.0,0.16249027867194527,male
374,374,-146.0,0.15672298202523494,male
375,375,-145.0,0.15408602163504376,male
376,376,-144.0,0.14979563485269082,male
377,377,-143.0,0.14979563485269082,male
378,378,-142.0,0.14979563485269082,male
379,379,-141.0,0.1508694159368965,male
380,380,-140.0,0.15119783980801538,male
381,381,-139.0,0.1512928941680816,male
382,382,-138.0,0.15255355075334448,male
383,383,-137.0,0.152907625535277,male
384,384,-136.0,0.152907625535277,male
385,385,-135.0,0.152907625535277,male
386,386,-134.0,0.1478728409943404,male
387,387,-133.0,0.1478728409943404,male
388,388,-132.0,0.1478728409943404,male
389,389,-131.0,0.1523130314265665,male
390,390,-130.0,0.15286556290397257,male
391,391,-129.0,0.15436090545653802,male
392,392,-128.0,0.15591216324680013,male
393,393,-127.0,0.15776421097022342,male
394,394,-126.0,0.15782433997528728,male
395,395,-125.0,0.15782433997528728,male
396,396,-124.0,0.16109720210032258,male
397,397,-123.0,0.16109720210032258,male
398,398,-122.0,0.16109720210032258,male
399,399,-121.0,0.16540330636549821,male
400,400,-120.0,0.16540330636549821,male
401,401,-119.0,0.16540330636549821,male
402,402,-118.0,0.16473881801684734,male
403,403,-117.0,0.16084688829594904,male
404,404,-116.0,0.1599062632219404,male
405,405,-115.0,0.15688232801559118,male
406,406,-114.0,0.15259583452110745,male
407,407,-113.0,0.15259583452110745,male
408,408,-112.0,0.15259583452110745,male
409,409,-111.0,0.15437883528471005,male
410,410,-110.0,0.15437883528471005,male
411,411,-109.0,0.15437883528471005,male
412,412,-108.0,0.15046115600165802,male
413,413,-107.0,0.1497861864301438,male
414,414,-106.0,0.14518268731051184,male
415,415,-105.0,0.14518268731051184,male
416,416,-104.0,0.14518268731051184,male
417,417,-103.0,0.15294816659428928,male
418,418,-102.0,0.1578118330596643,male
419,419,-101.0,0.1614269634768121,male
420,420,-100.0,0.1646481609979519,male
421,421,-99.0,0.16835569218539695,male
422,422,-98.0,0.17163689831884202,male
423,423,-97.0,0.17163689831884202,male
